Survived;ageGroup
0;Young
0;0
1;Young
1;Young
0;0
0;0
0;Young
1;Young
0;Young
0;Young
1;Young
1;Young
1;Young
0;Young
0;0
1;0
0;0
0;Young
1;Young
0;Young
0;Young
1;Child
0;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
1;Young
0;Young
0;0
1;Retiree
0;Young
1;Young
0;0
0;Child
1;Young
0;Young
0;Young
0;Young
0;0
0;Young
1;Young
0;Child
1;0
1;Child
1;Young
0;Young
1;Young
0;0
1;Young
0;0
1;Child
0;Young
1;0
0;Child
0;Young
0;0
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
0;Young
1;Young
0;Young
0;Young
0;0
0;Young
1;0
1;Young
0;Young
0;Retiree
1;Young
0;0
0;Child
0;Young
1;Child
0;Young
1;Young
0;0
1;Young
0;Young
0;Child
0;Young
0;Young
0;Child
0;Young
0;Child
1;Child
1;Young
1;Child
1;0
0;Young
0;Young
0;Young
0;Young
1;0
0;Young
0;Young
1;Child
1;Young
0;Child
0;Young
0;Young
0;Young
1;Young
1;Young
1;Young
1;0
1;Young
0;0
1;Young
0;Young
0;Young
0;Young
1;Young
1;Young
0;0
0;Young
1;Child
0;Child
0;Young
0;Young
1;Young
0;Young
1;Young
1;0
0;Young
0;Young
1;Young
0;Child
0;0
0;Young
0;Young
0;Young
0;Young
1;Young
0;0
0;0
1;0
0;Young
1;Young
0;Young
1;Young
0;Retiree
0;Child
1;Young
0;Young
0;Young
1;Child
1;Child
0;Young
0;Young
1;Young
1;Child
0;Young
0;Child
0;Young
1;Young
0;0
0;Young
1;Young
1;Young
0;Child
1;Young
0;0
0;Young
0;0
0;Young
0;Young
0;Young
0;Young
0;0
1;Young
0;Child
0;0
1;Child
0;0
1;Young
1;Child
1;Child
0;Young
0;0
0;Young
0;Young
1;Child
0;Child
1;Child
0;Young
0;0
0;Child
0;0
0;0
0;Young
0;Young
1;Young
1;Young
0;Young
0;Young
0;Young
1;Young
1;Child
1;Child
1;Young
0;Young
0;Young
0;Child
0;Young
1;Young
0;Young
0;Young
0;Young
0;Child
0;Young
0;0
0;Young
0;Young
0;Young
0;Child
1;Young
1;Young
0;Young
1;Young
0;Child
0;0
0;0
1;Child
1;0
1;Young
1;Child
1;Child
0;0
0;Young
0;Child
1;Young
0;Young
0;0
1;Young
1;0
0;Young
0;Child
1;Young
0;Young
0;Child
0;Young
0;0
0;Young
0;Young
1;0
0;Child
0;Retiree
0;Child
1;Child
0;Young
1;Child
1;Young
1;Young
1;Young
0;0
0;Young
0;Young
1;Young
0;0
0;Young
1;Young
1;Young
0;Young
0;0
1;Child
0;Young
1;Young
0;Young
0;Young
1;Young
1;Child
0;Young
0;Young
0;0
1;Young
1;Young
0;Young
0;Young
0;Young
0;Young
0;Young
0;Young
1;Young
0;0
1;Young
0;Young
